id,book_id,title,part,cat,vol,req_no,category_code,manifest
4216891,300-0001,管子,子部,医书,1,３００－０００１,300,https://www.digital.archives.go.jp/api/iiif/4216891/manifest.json
4251845,300-0001,管子,子部,医书,2,３００－０００１,300,https://www.digital.archives.go.jp/api/iiif/4251845/manifest.json
4251847,300-0001,管子,子部,医书,3,３００－０００１,300,https://www.digital.archives.go.jp/api/iiif/4251847/manifest.json
4216894,300-0001,管子,子部,医书,4,３００－０００１,300,https://www.digital.archives.go.jp/api/iiif/4216894/manifest.json
4443888,300-0002,管子,子部,医书,1,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4443888/manifest.json
4443890,300-0002,管子,子部,医书,2,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4443890/manifest.json
4443892,300-0002,管子,子部,医书,3,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4443892/manifest.json
4443893,300-0002,管子,子部,医书,4,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4443893/manifest.json
4427971,300-0002,管子,子部,医书,5,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4427971/manifest.json
4427973,300-0002,管子,子部,医书,6,３００－０００２,300,https://www.digital.archives.go.jp/api/iiif/4427973/manifest.json
228488,300-0003,管子,子部,医书,1,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228488/manifest.json
228489,300-0003,管子,子部,医书,2,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228489/manifest.json
228493,300-0003,管子,子部,医书,3,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228493/manifest.json
228494,300-0003,管子,子部,医书,4,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228494/manifest.json
228495,300-0003,管子,子部,医书,5,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228495/manifest.json
228497,300-0003,管子,子部,医书,6,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228497/manifest.json
228693,300-0003,管子,子部,医书,7,３００－０００３,300,https://www.digital.archives.go.jp/api/iiif/228693/manifest.json
228694,300-0004,管子,子部,医书,1,３００－０００４,300,https://www.digital.archives.go.jp/api/iiif/228694/manifest.json
228695,300-0004,管子,子部,医书,2,３００－０００４,300,https://www.digital.archives.go.jp/api/iiif/228695/manifest.json
228697,300-0004,管子,子部,医书,3,３００－０００４,300,https://www.digital.archives.go.jp/api/iiif/228697/manifest.json
228698,300-0004,管子,子部,医书,4,３００－０００４,300,https://www.digital.archives.go.jp/api/iiif/228698/manifest.json
230744,300-0004,管子,子部,医书,5,３００－０００４,300,https://www.digital.archives.go.jp/api/iiif/230744/manifest.json
4427978,300-0005,管子,子部,医书,1,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4427978/manifest.json
4427980,300-0005,管子,子部,医书,2,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4427980/manifest.json
4427982,300-0005,管子,子部,医书,3,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4427982/manifest.json
4427984,300-0005,管子,子部,医书,4,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4427984/manifest.json
4427986,300-0005,管子,子部,医书,5,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4427986/manifest.json
4428949,300-0005,管子,子部,医书,6,３００－０００５,300,https://www.digital.archives.go.jp/api/iiif/4428949/manifest.json
4251851,300-0006,管子,子部,医书,1,３００－０００６,300,https://www.digital.archives.go.jp/api/iiif/4251851/manifest.json
4251853,300-0006,管子,子部,医书,2,３００－０００６,300,https://www.digital.archives.go.jp/api/iiif/4251853/manifest.json
4251855,300-0006,管子,子部,医书,3,３００－０００６,300,https://www.digital.archives.go.jp/api/iiif/4251855/manifest.json
